bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres75,1,1,10,1,1,89802.2857142857,1,0.03,0.015704154,0.0871327254,1.0661023708,2.4912501569,-1.3797107046,-0.433961744,0.6277436914,1.4515801139,4.9207835792,PASS_OVER:HOUSE
hjres76,1,1,10,3,3,108880.8,1,0.0066666667,0.015704154,0.0871327254,0.8288478161,2.1802884708,-1.2969875266,-0.5046478971,0.4119314162,1.0453424443,4.2862104624,ENACTED:SIGNED
hjres77,1,1,10,1,1,89802.2857142857,1,0.0444444444,0.0078328982,0.0223118918,0.6740101209,2.5602195832,-1.7462628417,-0.7477948857,0.1244069225,0.7019928714,4.8762519557,PASS_OVER:HOUSE
hjres78,1,1,10,0,0,0,1,0.0088888889,0.015704154,0.0871327254,1.0340897604,2.7554925656,-1.6571429546,-0.5992406032,0.4398384897,1.2371650644,5.501632242,REFERRED
hjres79,1,1,10,1,1,50709.3333333333,1,0,0.0078328982,0.0223118918,0.8446160919,2.2273484494,-1.6501218282,-0.5163202298,0.5685498905,1.3218929658,4.2963659283,PASS_OVER:HOUSE
hjres8,1,1,1,0,0,52790.3076923077,1,0.04,0.0602134146,0.2538109756,0.8274203424,2.1365146477,-1.121272333,-0.3373841555,0.3085466228,0.8870043403,4.4552046402,REFERRED
hjres80,1,1,10,1,1,342469.75,1,0.24,0.015704154,0.0871327254,0.5994166824,2.3320823216,-1.9401816767,-0.8754962024,0.2241054228,1.0839797165,4.6095914517,PASS_OVER:HOUSE
hjres81,1,1,10,0,0,68729.1666666667,1,0.0168421053,0.015704154,0.0871327254,0.8263396135,2.034029494,-1.1618204106,-0.3998950995,0.3893403996,0.9885271005,4.2447527896,REFERRED
hjres82,1,1,10,0,0,61303.8461538462,1,0,0.0078328982,0.0223118918,0.7496529199,2.129117482,-1.4948877325,-0.5116696768,0.4202352434,1.0226786227,3.7290543395,REFERRED
hjres83,1,1,10,0,0,61303.8461538462,1,0.008,0.1050583658,0.2010376135,0.9151990504,2.252562323,-1.3786240627,-0.4189536274,0.5399771306,1.2140620248,4.0966612535,REFERRED
hjres84,1,1,10,1,1,61303.8461538462,1,0.0092307692,0.0594059406,0.2945544554,0.761510271,2.058182447,-1.5450238118,-0.5045221726,0.4964880159,1.2916283419,3.8266049301,PASS_OVER:HOUSE
hjres85,1,1,10,1,1,50709.3333333333,1,0,0.0375,0.1125,0.664806371,2.3834464658,-1.7562939372,-0.6985090054,0.2379404949,0.9148512835,4.2395244035,PASS_OVER:HOUSE
hjres86,1,1,10,0,0,111823.8,1,0.06,0.0602134146,0.2538109756,0.7104200172,2.1222910022,-1.3851702702,-0.5060648652,0.282630635,0.9820111336,3.7145848024,REFERRED
hjres87,1,1,10,0,0,111823.8,1,0.06,0.0602134146,0.2538109756,0.7917552244,2.5546245911,-1.4822988895,-0.5946578922,0.1438110383,0.7455820523,5.0389564022,REFERRED
