billid, x, binned score, bipartisan score, status
hr5399,1,0.0,0.0,REFERRED
hr54,1,0.9,0.913043478261,REFERRED
hr540,1,0.2,0.222222222222,REFERRED
hr5400,1,1.0,1.0,REFERRED
hr5401,1,1.0,1.0,REPORTED
hr5402,1,1.0,1.0,REPORTED
hr5403,1,0.6,0.641304347826,REFERRED
hr5404,1,1.0,1.0,ENACTED:SIGNED
hr5405,1,1.0,1.0,PASS_OVER:HOUSE
hr5406,1,1.0,1.0,REFERRED
hr5407,1,0.0,0.0,REFERRED
hr5408,1,1.0,1.0,REFERRED
hr5409,1,1.0,1.0,REFERRED
hr541,1,0.1,0.142857142857,REFERRED
hr5410,1,0.0,0.0,REFERRED
hr5411,1,1.0,1.0,REFERRED
hr5412,1,1.0,1.0,REPORTED
hr5413,1,0.3,0.333333333333,REFERRED
hr5414,1,0.5,0.5,REFERRED
hr5415,1,0.9,0.875,REFERRED
hr5416,1,1.0,1.0,REFERRED
hr5417,1,1.0,1.0,REFERRED
hr5418,1,1.0,1.0,PASS_OVER:HOUSE
hr5419,1,1.0,1.0,PASS_OVER:HOUSE
hr542,1,1.0,1.0,REFERRED
hr5420,1,1.0,1.0,PASS_OVER:HOUSE
hr5421,1,0.7,0.666666666667,REPORTED
hr5422,1,1.0,1.0,REFERRED
hr5423,1,1.0,1.0,REFERRED
hr5424,1,0.0,0.0,REFERRED
hr5425,1,0.0,0.0,REFERRED
hr5426,1,0.0,0.0,REFERRED
hr5427,1,0.0,0.0,REFERRED
hr5428,1,1.0,1.0,REFERRED
hr5429,1,0.0,0.0,REFERRED
hr543,1,0.4,0.369047619048,REFERRED
hr5430,1,0.4,0.4,REFERRED
hr5431,1,0.8,0.75,REFERRED
hr5432,1,0.1,0.133333333333,REFERRED
hr5433,1,1.0,1.0,REFERRED
hr5434,1,1.0,1.0,REFERRED
hr5435,1,0.5,0.5,REFERRED
hr5436,1,1.0,1.0,REFERRED
hr5437,1,0.0,0.0,REFERRED
hr5438,1,0.5,0.5,REFERRED
hr5439,1,0.1,0.142857142857,REFERRED
hr544,1,1.0,0.951219512195,REFERRED
hr5440,1,1.0,1.0,REFERRED
hr5441,1,0.6,0.608695652174,REFERRED
hr5442,1,0.0,0.0,REFERRED
hr5443,1,0.0,0.0,REFERRED
hr5444,1,0.0,0.0,REFERRED
hr5445,1,0.0,0.0,REFERRED
hr5446,1,0.5,0.5,REFERRED
hr5447,1,1.0,1.0,REFERRED
hr5448,1,0.5,0.5,REPORTED
hr5449,1,0.8,0.777777777778,REPORTED
hr545,1,0.0,0.0,REFERRED
hr5450,1,1.0,1.0,REFERRED
hr5451,1,0.0,0.0,REFERRED
hr5452,1,0.5,0.5,REFERRED
hr5453,1,0.0,0.0,REFERRED
hr5454,1,0.0,0.0,REFERRED
hr5455,1,0.0,0.0,REFERRED
hr5456,1,0.6,0.583333333333,REFERRED
hr5457,1,0.5,0.5,REFERRED
hr5458,1,0.0,0.0,REFERRED
hr5459,1,0.2,0.222222222222,REFERRED
hr546,1,0.0,0.0,REFERRED
hr5460,1,0.5,0.5,REFERRED
hr5461,1,0.8,0.75,PASS_OVER:HOUSE
hr5462,1,0.5,0.5,PASS_OVER:HOUSE
hr5463,1,1.0,1.0,REFERRED
hr5464,1,0.0,0.0,REFERRED
hr5465,1,0.0,0.0,REFERRED
hr5466,1,0.0,0.0,REFERRED
hr5467,1,0.0,0.0,REFERRED
hr5468,1,0.3,0.274509803922,REPORTED
hr5469,1,1.0,1.0,REFERRED
hr547,1,0.0,0.0,REFERRED
hr5470,1,0.6,0.555555555556,REFERRED
hr5471,1,0.5,0.5,REFERRED
hr5472,1,1.0,1.0,REFERRED
hr5473,1,1.0,1.0,REFERRED
hr5474,1,0.3,0.333333333333,REFERRED
hr5475,1,1.0,1.0,REFERRED
hr5476,1,1.0,1.0,REPORTED
hr5477,1,1.0,1.0,REFERRED
hr5478,1,0.1,0.117647058824,REFERRED
hr5479,1,1.0,1.0,REFERRED
hr548,1,0.0,0.0,REFERRED
hr5480,1,1.0,1.0,REFERRED
hr5481,1,0.8,0.833333333333,REFERRED
hr5482,1,1.0,1.0,REFERRED
hr5483,1,0.9,0.947368421053,REFERRED
hr5484,1,0.2,0.166666666667,REFERRED
hr5485,1,0.0,0.0,REFERRED
hr5486,1,0.0,0.0,REFERRED
hr5487,1,0.5,0.5,REFERRED
hr5488,1,0.0,0.0,REFERRED
hr5489,1,0.0,0.0,REFERRED
hr549,1,0.5,0.5,REFERRED
hr5490,1,0.0,0.0,REFERRED
hr5491,1,0.0,0.0,REFERRED
hr5492,1,0.7,0.666666666667,REPORTED
hr5493,1,1.0,1.0,REFERRED
hr5494,1,0.0,0.0,REFERRED
hr5495,1,0.0,0.0,REFERRED
hr5496,1,0.3,0.285714285714,REFERRED
hr5497,1,0.0,0.0,REFERRED
hr5498,1,0.0,0.0,REFERRED
hr5499,1,0.0,0.0,REFERRED
hr55,1,0.8,0.8125,REFERRED
hr550,1,0.5,0.5,REFERRED
hr5500,1,1.0,1.0,REFERRED
hr5501,1,0.0,0.0,REFERRED
hr5502,1,0.7,0.666666666667,REFERRED
hr5503,1,0.1,0.0975609756098,REFERRED
hr5504,1,0.5,0.5,REFERRED
hr5505,1,0.9,0.909090909091,REFERRED
hr5506,1,0.0,0.0,REFERRED
hr5507,1,0.0,0.0,REFERRED
hr5508,1,0.0,0.0,REFERRED
hr5509,1,0.0,0.0,REFERRED
hr551,1,0.0,0.0,REFERRED
hr5510,1,1.0,1.0,REFERRED
hr5511,1,0.0,0.0,REFERRED
hr5512,1,0.0,0.0,REFERRED
hr5513,1,0.0,0.0,REFERRED
hr5514,1,0.0,0.0,REFERRED
hr5515,1,0.1,0.1,REFERRED
hr5516,1,0.5,0.5,REFERRED
hr5517,1,0.0,0.0,REFERRED
hr5518,1,0.0,0.0,REFERRED
hr5519,1,0.5,0.5,REFERRED
hr552,1,0.0,0.0,REFERRED
hr5520,1,1.0,1.0,REFERRED
hr5521,1,0.5,0.5,REFERRED
hr5522,1,1.0,1.0,REFERRED
hr5523,1,0.5,0.5,REFERRED
hr5524,1,0.0,0.0,REFERRED
hr5525,1,0.3,0.333333333333,REFERRED
hr5526,1,0.5,0.5,REFERRED
hr5527,1,0.0,0.0,REFERRED
hr5528,1,0.5,0.5,REFERRED
hr5529,1,0.5,0.5,REFERRED
hr553,1,1.0,1.0,REPORTED
hr5530,1,1.0,1.0,REFERRED
hr5531,1,0.5,0.5,REFERRED
hr5532,1,1.0,1.0,REFERRED
hr5533,1,0.0,0.0,REFERRED
hr5534,1,0.0,0.0,REFERRED
hr5535,1,0.0,0.0,REFERRED
hr5536,1,0.0,0.0,REFERRED
hr5537,1,1.0,1.0,REFERRED
hr5538,1,0.0,0.0,REFERRED
hr5539,1,0.5,0.5,REFERRED
hr554,1,0.0,0.0,REFERRED
hr5540,1,0.0,0.0,REFERRED
hr5541,1,0.0,0.0,REFERRED
hr5542,1,1.0,1.0,REFERRED
hr5543,1,1.0,1.0,REFERRED
hr5544,1,1.0,1.0,REFERRED
hr5545,1,0.3,0.333333333333,REFERRED
hr5546,1,0.0,0.0,REFERRED
hr5547,1,0.0,0.0,REFERRED
hr5548,1,0.0,0.0,REFERRED
hr5549,1,0.0,0.0,REFERRED
hr555,1,1.0,1.0,REPORTED
hr5550,1,0.0,0.0,REFERRED
hr5551,1,1.0,1.0,REFERRED
hr5552,1,0.2,0.166666666667,REFERRED
hr5553,1,0.0,0.0,REFERRED
hr5554,1,0.0,0.0,REFERRED
hr5555,1,1.0,1.0,REFERRED
hr5556,1,0.8,0.75,REFERRED
hr5557,1,1.0,1.0,REFERRED
hr5558,1,0.5,0.5,REFERRED
hr5559,1,0.0,0.0,REFERRED
hr556,1,1.0,0.985294117647,REFERRED
hr5560,1,0.0,0.0,REFERRED
hr5561,1,0.3,0.333333333333,REFERRED
hr5562,1,0.3,0.269230769231,REFERRED
hr5563,1,0.2,0.222222222222,REFERRED
hr5564,1,0.0,0.0,REFERRED
hr5565,1,0.0,0.0,REFERRED
hr5566,1,0.0,0.0,REFERRED
hr5567,1,0.0,0.0,REFERRED
hr5568,1,0.0,0.0,REFERRED
hr5569,1,0.0,0.0,REFERRED
hr557,1,1.0,0.977777777778,REFERRED
hr5570,1,0.0,0.0,REFERRED
hr5571,1,0.0,0.0,REFERRED
hr5572,1,0.0,0.0,REFERRED
hr5573,1,1.0,1.0,REFERRED
hr5574,1,1.0,1.0,REFERRED
hr5575,1,0.0,0.0,REFERRED
hr5576,1,0.0,0.0,REFERRED
hr5577,1,0.0,0.0,REFERRED
hr5578,1,1.0,1.0,REFERRED
hr5579,1,0.5,0.5,REFERRED
hr558,1,0.6,0.611111111111,REFERRED
hr5580,1,0.0,0.0,REFERRED
hr5581,1,0.0,0.0,REFERRED
hr5582,1,0.0,0.0,REFERRED
hr5583,1,0.0,0.0,REFERRED
hr5584,1,0.0,0.0,REFERRED
hr5585,1,1.0,1.0,REFERRED
hr5586,1,1.0,1.0,REFERRED
hr5587,1,0.0,0.0,REFERRED
hr5588,1,0.0,0.0,REFERRED
hr5589,1,0.3,0.333333333333,REFERRED
hr559,1,0.1,0.117647058824,REFERRED
hr5590,1,0.5,0.5,REFERRED
hr5591,1,0.0,0.0,REFERRED
hr5592,1,0.5,0.5,REFERRED
hr5593,1,0.0,0.0,REFERRED
hr5594,1,0.5,0.5,REFERRED
hr5595,1,0.5,0.5,REFERRED
hr5596,1,0.2,0.2,REFERRED
hr5597,1,1.0,1.0,REFERRED
hr5598,1,1.0,1.0,REFERRED
hr5599,1,1.0,1.0,REFERRED
hr56,1,1.0,1.0,REFERRED
hr560,1,0.0,0.0,REFERRED
hr5600,1,1.0,1.0,REFERRED
hr5601,1,0.0,0.0,REFERRED
hr5602,1,0.0,0.0,REFERRED
hr5603,1,0.0,0.0,REFERRED
hr5604,1,0.0,0.0,REFERRED
hr5605,1,1.0,1.0,REFERRED
hr5606,1,0.0,0.0,REFERRED
hr5607,1,0.3,0.333333333333,REFERRED
hr5608,1,0.0,0.0,REFERRED
hr5609,1,0.6,0.636363636364,REFERRED
hr561,1,0.6,0.571428571429,REFERRED
hr5610,1,0.5,0.5,REFERRED
hr5611,1,0.5,0.5,REFERRED
hr5612,1,0.0,0.0,REFERRED
hr5613,1,0.0,0.0,REFERRED
hr5614,1,0.5,0.5,REFERRED
hr5615,1,1.0,1.0,REFERRED
hr5616,1,0.1,0.1,REFERRED
hr5617,1,0.1,0.0606060606061,REFERRED
hr5618,1,0.0,0.0,REFERRED
hr5619,1,0.5,0.5,REFERRED
hr562,1,0.1,0.0625,REFERRED
hr5620,1,0.5,0.5,REFERRED
hr5621,1,0.0,0.0,REFERRED
hr5622,1,0.2,0.230769230769,REFERRED
